220687,101685
220687,210596
220688,64502
220688,81940
220688,81941
220688,81943
220688,210754
220689,196355
220689,210784
220689,220690
220689,222562
220690,93486
220690,210784
220690,220689
220690,222561
220690,222562
220691,63400
220691,194930
220691,211572
220691,211573
220691,211574
220692,211317
220692,212387
220692,212389
220692,213540
220692,215390
220693,65162
220693,206297
220693,212767
220693,223201
220693,223202
220695,24289
220695,31541
220695,176872
220695,212505
220695,212987
220696,26725
220696,31324
220696,213053
220696,220697
220696,235490
220697,26725
220697,31324
220697,213053
220697,220696
220697,235490
220698,65112
220698,83486
220698,130848
220698,213218
220698,224212
220699,7543
220699,20739
220699,174757
220699,214715
220699,230801
220700,214785
220700,214786
220700,220646
220700,220701
220700,235049
220701,214785
220701,214786
220701,220646
220701,220700
220701,240105
220702,215012
220702,224236
220702,239934
220702,239935
220703,15780
220703,18969
220703,21874
220703,21875
220703,210833
220704,59955
220704,68386
220704,70439
220704,80533
220704,215471
220705,139831
220705,151288
220705,181405
220705,183082
220705,215601
220706,151288
220706,181406
220706,215601
220706,220705
220706,235268
220707,178914
220707,215929
220707,215930
220707,223717
220707,238675
220708,2161
220708,216082
220708,216083
220708,216085
220708,220709
220709,216085
220709,220708
220709,222282
220709,222283
220709,222284
220710,156545
220710,216092
220710,216094
220710,216095
220710,216703
220711,216092
220711,216094
220711,220710
220711,225306
220711,225307
220712,40566
220712,125010
220712,140086
220712,216338
220712,232323
220713,85793
220713,175636
220713,198836
220713,232886
220713,234350
220714,93264
220714,93268
220714,117147
220714,216338
220714,241339
220715,126295
220715,217263
220716,56395
220716,137251
220716,172432
220716,217263
220716,234897
220717,52060
220717,130452
220717,212726
220717,213836
220717,217641
220718,164566
220718,181554
220718,198507
220718,198508
220718,217750
220719,34407
220719,52602
220719,53435
220719,76938
220719,140338
220720,219670
220720,220721
220720,220723
220720,221152
220720,223510
220721,219670
220721,220720
220721,220723
220721,223510
220721,232887
220722,219670
220722,219673
220722,220721
220722,226556
220722,226557
220723,219670
220723,220720
220723,220721
220723,223510
220723,232887
220724,219673
220724,226557
220724,231873
220724,231874
220724,231875
220725,154808
220725,174898
220725,196928
220725,202561
220725,220092
220726,43754
220726,210891
220726,220212
220726,220213
220726,222957
220727,220212
220727,222957
220727,236040
220727,236041
220727,236042
220728,12425
220728,184954
220728,230216
220728,230217
220728,230218
220729,180238
220729,185116
220729,240964
220729,240965
220729,240966
220730,185116
220730,212011
220730,229878
220730,230657
220730,234200
220731,185135
220731,185136
220731,187162
220731,187163
220731,234736
220732,71771
220732,71772
220732,188235
220732,209201
220732,231719
220733,44598
220733,64807
220733,188235
220733,214187
220733,232730
220734,129140
220734,232728
220734,232729
220734,232730
220734,232731
220735,96768
220735,188387
220735,225676
220735,227365
220735,236105
220736,93227
220736,104852
220736,104853
220736,188387
220736,225676
220737,99099
220737,188395
220737,220738
220737,227251
220737,227252
220738,159520
220738,188395
220738,220737
220738,227251
220738,227252
220739,21604
220739,79348
220739,79349
220739,79350
220739,108265
220740,126861
220740,159427
220740,159428
220740,159429
220740,190985
220741,191112
220741,191113
220741,204845
220741,220742
220741,221841
220742,191112
220742,191113
220742,220741
220742,220743
220742,221841
220743,220741
220743,220742
220743,221841
220743,222393
220743,222394
220744,191112
220744,235727
220744,235728
220745,118557
220745,127389
220745,128766
220745,161826
220745,194182
220746,194678
220747,194678
220747,204769
220747,212159
220747,222084
220747,223244
220748,88257
220748,143283
220748,194875
220748,220749
220748,240810
220749,57101
220749,88257
220749,143283
220749,194875
220749,220748
220750,8912
220750,185038
220750,195836
220750,198454
220750,220751
220751,195836
220751,220750
220752,195941
220752,224673
220752,232324
220752,232325
220752,232326
220753,173716
220753,195941
220753,224673
220754,183739
220754,197961
220756,192812
220756,192962
220756,198526
220756,198527
220756,237607
220757,192811
220757,192812
220757,192962
220757,198526
220757,198527
220758,189266
220758,199536
220758,202467
220758,232764
220758,239815
220759,200048
220759,241084
220759,241085
220759,241086
220759,241087
220760,159076
220760,200247
220760,200248
220760,200249
220760,225000
220761,5541
220761,36106
220761,98461
220761,200249
220761,231876
220762,122354
220762,200821
220762,220768
220762,227607
220762,227608
220763,153394
220763,158157
220763,179384
220763,195096
220763,201719
220764,202114
220765,202114
220765,240348
220765,240349
220765,240350
220765,240351
220766,74087
220766,202421
220766,220767
220766,225899
220767,74087
220767,202421
220767,220766
220767,225899
220768,122354
220768,220762
220768,237187
220768,237188
220768,237189
220769,182828
220769,202629
220769,206731
220769,206732
220769,229964
220770,202629
220770,220771
220770,236475
220770,236476
220770,236477
220771,202629
220771,206732
220771,220770
220771,236476
220771,236477
220772,104047
220772,127845
220772,158550
220772,202979
220772,221539
220774,181466
220774,204646
220774,204647
220774,204648
220774,214855
220775,57020
220775,87812
220775,154523
220775,175196
220775,205823
220776,179656
220776,196580
220776,205823
220776,223508
220776,223509
220777,30139
220777,57644
220777,66880
220777,66882
220777,206403
220778,30139
220778,66880
220778,206403
220778,212591
220778,222563
220779,200358
220779,200956
220779,229775
220779,229776
220779,229777
220780,198165
220780,203681
220780,212555
220780,221598
220780,224932
220782,112697
220782,209269
220782,220781
220782,234815
220783,2353
220783,4429
220783,65542
220783,209408
220784,97181
220784,210559
220784,213849
220784,232385
220784,232386
220785,134650
220785,150685
220785,210869
220785,220210
220785,237590
220786,187800
220786,211639
220786,220787
220786,234180
220786,235491
220787,187800
220787,220786
220787,234898
220787,234899
220787,234900
220788,170493
220788,189179
220788,189180
220788,211714
220788,211715
220789,23145
220789,56056
220789,56057
220789,212299
220789,234201
220790,9955
220790,35263
220790,39265
220790,66321
220790,212766
220791,54024
220791,56810
220791,168806
220791,212766
220791,231877
220792,7633
220792,9814
220792,14347
220792,50702
220792,212772
220793,13304
220793,214159
220793,240047
220794,75197
220794,101757
220794,115414
220794,121077
220794,173500
220795,178188
220795,184736
220795,196506
220795,214867
220795,214868
220796,178188
220796,214867
220797,136668
220797,178188
220797,214867
220797,235331
220798,200062
220798,210551
220798,210552
220798,225787
220798,233495
220799,2353
220799,215392
220800,37842
220800,61001
220800,165782
220800,240352
220800,240353
220801,42585
220801,216054
220801,220802
220801,220803
220801,220804
220802,42585
220802,216054
220802,220801
220802,220803
220802,220804
220803,216054
220803,220801
220803,220802
220803,220804
220803,238988
220804,215050
220804,216054
220804,220801
220804,220802
220804,220803
220805,150294
220805,216244
220805,220808
220805,234503
220805,236781
220806,12771
220806,77647
220806,147843
220806,157068
220806,187904
220807,17525
220807,108271
220807,220808
220807,234502
220807,234503
